Date,Adress,Size,Rooms,Broker,Rent,Price
22 april 2021,"Slåttervallsgatan 9, 5 tr",93,4,Bostadsrättsspecialisten,4215,9350000
22 april 2021,Blackebergsbacken 1,"94,5",4,Notar,5420,5910000
22 april 2021,Kabelverksgatan 32,95,4,BOSTHLM Älvsjö,4944,5875000
21 april 2021,"Sigtunagatan 5A, 3tr. gårdshus med två balkonger",90,4,Fastighetsbyrån Stockholm - Vasastan,3719,12050000
21 april 2021,"Båtbyggargatan 62, 4tr",91,3,Svenska Mäklarhuset Hammarby Sjöstad,5773,7200000
21 april 2021,Döbelnsgatan 60,91,4,Unik Fastighetsförmedling AB,3580,11000000
21 april 2021,Arbetargatan 33F,93,4,Erik Olsson Fastighetsförmedling,4415,11500000
21 april 2021,"Sköntorpsvägen 7, 6tr",93,4,Notar,5793,6825000
20 april 2021,"Personnevägen 102, vån 4",95,4,Notar,4730,5400000
20 april 2021,Vantörsvägen 285,"93,5",4,Länsförsäkringar Fastighetsförmedling Stockholm - Hägersten,4284,4880000
19 april 2021,Västertorpsvägen 168,92,4,Fastighetsbyrån Hägersten/Älvsjö,5112,4515000
19 april 2021,"Taxgatan 4, 7 av 7tr",91,4,Notar,4744,11640000
19 april 2021,"Skäftingebacken 36, 5 tr",94,4,HusmanHagberg Kista,6456,2360000
17 april 2021,Gävlegatan 26,95,4,Bronze Fastighetsförmedling AB,4750,9000000
16 april 2021,Härjedalsgatan 96,92,4,Svensk Fastighetsförmedling Vällingby/Hässelby/Spånga,4659,3300000
16 april 2021,"Scheelegatan 38 A, 8 tr",90,4,Widerlöv Stockholm,4040,7825000
14 april 2021,Sonja Kovalevskys Gata 11,95,4,Bronze Fastighetsförmedling AB,4750,8700000
14 april 2021,"Karlsbodavägen 42, vån 5","91,5",4,Bjurfors Bromma,6213,5850000
14 april 2021,"Majrovägen 29, 1 tr",93,4,ERA Enskede-Farsta kontoret,6354,5250000
13 april 2021,Kubbegatan 3,95,4,HusmanHagberg Farsta,4827,4000000
13 april 2021,Filipstadsbacken 60,91,4,Notar,5718,3010000
13 april 2021,"Redargatan 3, pl 5",93,3,Svenska Mäklarhuset Hammarby Sjöstad,4622,7200000
13 april 2021,"Olof Dalins väg 20, 3 tr",90,4,Karlsson & Uddare AB,6171,8850000
13 april 2021,"Bjulevägen 23, 3 tr",93,4,BOSTHLM Älvsjö,7496,3750000
12 april 2021,Svartviksslingan 96,"90,5",4,MOHV Bromma,5190,6800000
12 april 2021,Björngårdsgatan 3,91,3,Svensk Fastighetsförmedling Sthlm Södermalm,3903,7000000
11 april 2021,"Hammarby allé 119, 2tr",91,4,BOSTHLM Fastighetsmäklare AB,4495,6900000
9 april 2021,"Tellusgatan 17, 6 tr. - Högst upp!",95,3,Svenska Mäklarhuset Hägersten/Liljeholmen,5071,6500000
9 april 2021,"Lämmelgränd 5, vån 4",91,4,Bjurfors Bromma,4576,7650000
8 april 2021,Hammarögatan 26,93,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5446,4245000
8 april 2021,Härjedalsgatan 78,92,4,Svensk Fastighetsförmedling Vällingby/Hässelby/Spånga,4584,3500000
7 april 2021,"Norra Stationsgatan 111, 6 tr",95,4,Erik Olsson Fastighetsförmedling,4298,8300000
6 april 2021,Karlsbodavägen 40,"91,5",4,Fastighetsbyrån Bromma,6213,5300000
5 april 2021,Hammarögatan 26,93,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5446,4045000
5 april 2021,Tummelisas Gata 4,95,4,Mäklarhuset Bromma,5460,5750000
2 april 2021,"Karlbergsvägen 87A, 1,5tr",92,4,Fastighetsbyrån Stockholm - Vasastan,4277,9800000
1 april 2021,Arbetargatan 24,95,4,Widerlöv Stockholm,3447,10325000
31 mars 2021,Erik Dahlbergsgatan 49,93,4,Fastighetsbyrån Stockholm – Östermalm,4159,8850000
31 mars 2021,Hammarögatan 26,93,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5446,4095000
31 mars 2021,Alva myrdals gata 8,92,4,Länsförsäkringar Fastighetsförmedling Stockholm - Hägersten,5126,5150000
31 mars 2021,Telefonvägen 25,92,4,Fastighetsbyrån Hägersten/Älvsjö,5042,7060000
31 mars 2021,Tummelisas gata 4,95,4,Svenska Mäklarhuset Bromma,5460,5200000
31 mars 2021,Norra Stationsgatan 111,95,4,Erik Olsson Fastighetsförmedling,4298,8350000
31 mars 2021,Vinodlargatan 6,95,4,Bjurfors Liljeholmen Hägersten,5317,6620000
30 mars 2021,Hammarögatan 26,93,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5446,4295000
30 mars 2021,"Folkparksvägen 160, vån 8","91,5",3,BOSTHLM Älvsjö,5313,4850000
28 mars 2021,"Folkungagatan 63, 3tr",95,4,Svensk Fastighetsförmedling Sthlm Södermalm,4877,9500000
26 mars 2021,"Skebokvarnsvägen 6, 1tr","93,5",4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5719,4600000
26 mars 2021,Valhallavägen 146 F,94,4,Behrer & Partners,3082,11100000
25 mars 2021,Drachmannsgatan 4,90,4,Notar,5007,6400000
24 mars 2021,Nina Einhorns gata 5,91,4,Bronze Fastighetsförmedling AB,4605,9150000
24 mars 2021,"Snickerigatan 14, 4 tr",95,4,Länsförsäkringar Fastighetsförmedling Stockholm - Hägersten,5237,7330000
24 mars 2021,Beckomberga Ängsväg 22,91,4,Svenska Mäklarhuset Bromma,4730,5400000
23 mars 2021,Skönviksvägen 284,90,4,HusmanHagberg Enskede,4410,5820000
23 mars 2021,"Bergslagsvägen 74, 5 tr","90,5",4,Erik Olsson Fastighetsförmedling,4904,5550000
22 mars 2021,"Roslagsgatan 40 D, 4+5 tr",90,3,Behrer & Partners,3364,10000000
19 mars 2021,Skeppstavägen 31,93,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5516,4200000
19 mars 2021,"Tummelisas Gata 4, 5 tr.",94,4,Svenska Mäklarhuset Bromma,5460,5635000
19 mars 2021,"Södermannagatan 50A, 4tr",94,3,Bjurfors Södermalm,5589,9525000
19 mars 2021,"Flintbacken 28, 8 tr","94,5",4,BOSTHLM Älvsjö,4142,9100000
18 mars 2021,Solberga hagväg 13,90,4,Länsförsäkringar Fastighetsförmedling Stockholm - Hägersten,5008,3500000
18 mars 2021,Sonja Kovalevskys Gata 6,91,4,Bronze Fastighetsförmedling AB,4880,9250000
18 mars 2021,Svartviksslingan 82,"90,5",4,MOHV Bromma,5306,6260000
17 mars 2021,"Inedalsgatan 9C, 3 tr",95,4,Fastighetsbyrån Stockholm - Kungsholmen,3417,7950000
17 mars 2021,Gransätragränd 21,"94,5",4,Länsförsäkringar Fastighetsförmedling Stockholm - Fruängen,5712,3200000
17 mars 2021,"Majrovägen 27, 2 tr",93,4,ERA Enskede-Farsta kontoret,6417,5025000
15 mars 2021,"Dalagatan 25A, 4tr ög",90,4,Fastighetsbyrån Stockholm - Vasastan,3695,11050000
15 mars 2021,"Tummelisas gata 4, 3 tr",95,4,Svenska Mäklarhuset Bromma,5460,5400000
14 mars 2021,Slättvägen 3,94,3,HusmanHagberg Bromma,2656,10900000
13 mars 2021,Kista alléväg 9,"91,1",4,Våningen & Villan Stockholm,4803,3695000
12 mars 2021,"Wollmar Yxkullsgatan 38, 1,5 tr",90,4,ERA Storstad,2979,9000000
11 mars 2021,Stjernströms Väg 9,"94,3",4,Bjurfors Liljeholmen Hägersten,5357,6265000
11 mars 2021,"Kista Alléväg 9, 2 tr (3-1201)","91,1",4,Våningen & Villan Stockholm,4803,3795000
10 mars 2021,Erik Tegels väg 39,93,4,Länsförsäkringar Fastighetsförmedling Stockholm - Vällingby,5124,2750000
10 mars 2021,Nyårsvägen 20,92,4,Svensk Fastighetsförmedling Hägersten-Liljeholmen,5813,7530000
9 mars 2021,"Tummelisas gata 4, 3 tr.",95,4,Svenska Mäklarhuset Bromma,5460,5500000
9 mars 2021,Plåtslagarvägen 20,"90,5",4,HusmanHagberg Bromma,5735,6750000
8 mars 2021,Ekhagsvägen 7,93,4,Historiska Hem,5279,7500000
8 mars 2021,Elsa Borgs gata 46,91,4,Länsförsäkringar Fastighetsförmedling Stockholm - Hägersten,5437,4200000
7 mars 2021,"Ågesta Broväg 48, 5 tr",94,4,Bjurfors Hammarby/Skarpnäck & Farsta,5229,4885000
6 mars 2021,Skagersvägen 24,94,4,HusmanHagberg Enskede,5621,8150000
6 mars 2021,Hjalmar Söderbergs väg 4,92,4,Diplomat Fastighetmäkleri,4702,7820000
5 mars 2021,"Drakenbergsgatan 5, 2 tr",92,4,Notar,3824,7710000
4 mars 2021,Lillhagsvägen 24,90,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,6344,2880000
4 mars 2021,"P O Hallmans gata 3, Vån 7",91,4,Widerlöv Stockholm,5292,8800000
4 mars 2021,"Industrigatan 8, 1 tr",90,4,Mäklarhuset Stockholm Innerstan,3449,7700000
3 mars 2021,Slättåkragränd 26,95,4,Fastighetsbyrån Hägersten/Älvsjö,5255,3060000
3 mars 2021,Gransätragränd 11,"94,5",4,Tomas Mäklarbyrå AB,5647,3180000
3 mars 2021,Pilvingegatan 42,90,4,BOSthlm Årsta,5575,3660000
2 mars 2021,Tideliusgatan 67,90,4,Länsförsäkringar Fastighetsförmedling Stockholm - Södermalm,4134,7500000
2 mars 2021,Gammelgårdsvägen 28,90,4,MOHV Solna,4314,6995000
2 mars 2021,Arbetargatan 33E,94,4,Erik Olsson Fastighetsförmedling,4462,11135000
1 mars 2021,Norrbackagatan 7,91,3,Fastighetsbyrån Stockholm - Vasastan,2899,7240000
27 februari 2021,"Fyrvaktarkroken 59, 5tr",93,4,HusmanHagberg Enskede,4632,6650000
27 februari 2021,Vintrosagatan 11,95,4,BOSTHLM Älvsjö,4873,3500000
26 februari 2021,"Kratsbodavägen 44D, Takterrass!",90,4,Bjurfors Bromma,4530,6995000
26 februari 2021,"Tummelisas Gata 4, 5 tr.",94,4,Svenska Mäklarhuset Bromma,5460,5500000
25 februari 2021,"Tellusborgsvägen 65E, vån 4",94,4,Notar,4051,7800000
25 februari 2021,"Lövängsgatan 14, 5tr",92,4,Notar,4701,8600000
24 februari 2021,Anna sandströms gata 4,95,4,HusmanHagberg Hägersten,5215,5200000
23 februari 2021,Brännkyrkagatan 42,90,4,Historiska Hem,5957,9600000
23 februari 2021,Norra Agnegatan 34 A,93,4,Skeppsholmen Sotheby's International Realty,3737,9125000
22 februari 2021,Västertorpsvägen 158,93,4,Fastighetsbyrån Hägersten/Älvsjö,5319,4800000
22 februari 2021,Norra Stationsgatan 111,95,4,Erik Olsson Fastighetsförmedling,4298,8300000
20 februari 2021,"Franzéngatan 77, 2 tr","91,5",4,Karlsson & Uddare AB,3373,8150000
19 februari 2021,"Skeppstavägen 29,1 tr",93,4,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5516,4150000
19 februari 2021,"Mariehällsvägen 16, vån 2","91,8",4,Notar,5478,5650000
19 februari 2021,Skeppargatan 21,95,4,Behrer & Partners,Unknown,14200000
17 februari 2021,"Fatburs Brunnsgata 18, 5tr",94,4,HusmanHagberg Södermalm/Gamla Stan,4762,8200000
12 februari 2021,"Lignagatan 7, 1tr",92,4,Södermäklarna,3982,6800000
11 februari 2021,Johan Skyttes väg 187,94,4,Fastighetsbyrån Hägersten/Älvsjö,4691,5550000
11 februari 2021,Ålgrytebacken 12,94,4,Fastighetsbyrån Hägersten/Älvsjö,4299,4000000
11 februari 2021,"Sköntorpsvägen 126, 9 tr",94,4,BOSthlm Årsta,5371,6800000
9 februari 2021,Astrakangatan 107,92,4,Blok,5381,2750000
7 februari 2021,"Hårdvallsgatan 11, 6tr",92,4,Notar,5360,8500000
6 februari 2021,Vintrosagatan 56 5tr,90,4,HusmanHagberg Huddinge,4694,2770000
5 februari 2021,"Annedalsvägen 59, 4 tr.",94,4,Svenska Mäklarhuset Bromma,4759,5500000
5 februari 2021,Bellmansgatan 22A,95,4,Fastighetsmäklarna,Unknown,11325000
4 februari 2021,Sköntorpsvägen 124,94,4,BOSthlm Årsta,5371,5625000
3 februari 2021,"Sköndalsvägen 116, 5tr","92,5",4,Notar,4953,4250000
3 februari 2021,Piongränd 13,95,4,Mats Holmgren FB,5568,2695000
2 februari 2021,"Jämtlandsgatan 88, Vån 2",90,4,SkandiaMäklarna Vällingby/Hässelby/Kista,5204,3000000
1 februari 2021,"Ekehjelmstorget 8, 2 tr",91,4,HusmanHagberg Södermalm/Gamla Stan,2930,8500000
31 januari 2021,"Nybergsgatan 8, 4 tr",90,4,Magnusson Mäkleri AB,4239,12600000
29 januari 2021,Beckomberga Ängsväg 39,91,4,Fastighetsbyrån Bromma,4800,4850000
