Date,Adress,Size,Rooms,Broker,Rent,Price
20210421.0,Sigtunagatan 5A,90.0,4.0,Fastighetsbyrån Stockholm - Vasastan,3719.0,12050000.0
20210421.0,Båtbyggargatan 62,91.0,3.0,Svenska Mäklarhuset Hammarby Sjöstad,5773.0,7200000.0
20210421.0,Döbelnsgatan 60,91.0,4.0,Unik Fastighetsförmedling AB,3580.0,11000000.0
20210421.0,Arbetargatan 33F,93.0,4.0,Erik Olsson Fastighetsförmedling,4415.0,11500000.0
20210421.0,Sköntorpsvägen 7,93.0,4.0,Notar,5793.0,6825000.0
20210420.0,Personnevägen 102,95.0,4.0,Notar,4730.0,5400000.0
20210420.0,Vantörsvägen 285,93.5,4.0,Länsförsäkringar Fastighetsförmedling Stockholm - Hägersten,4284.0,4880000.0
20210419.0,Västertorpsvägen 168,92.0,4.0,Fastighetsbyrån Hägersten/Älvsjö,5112.0,4515000.0
20210419.0,Taxgatan 4,91.0,4.0,Notar,4744.0,11640000.0
20210419.0,Skäftingebacken 36,94.0,4.0,HusmanHagberg Kista,6456.0,2360000.0
20210417.0,Gävlegatan 26,95.0,4.0,Bronze Fastighetsförmedling AB,4750.0,9000000.0
20210416.0,Härjedalsgatan 96,92.0,4.0,Svensk Fastighetsförmedling Vällingby/Hässelby/Spånga,4659.0,3300000.0
20210416.0,Scheelegatan 38 A,90.0,4.0,Widerlöv Stockholm,4040.0,7825000.0
20210414.0,Sonja Kovalevskys Gata 11,95.0,4.0,Bronze Fastighetsförmedling AB,4750.0,8700000.0
20210414.0,Karlsbodavägen 42,91.5,4.0,Bjurfors Bromma,6213.0,5850000.0
20210414.0,Majrovägen 29,93.0,4.0,ERA Enskede-Farsta kontoret,6354.0,5250000.0
20210413.0,Kubbegatan 3,95.0,4.0,HusmanHagberg Farsta,4827.0,4000000.0
20210413.0,Filipstadsbacken 60,91.0,4.0,Notar,5718.0,3010000.0
20210413.0,Redargatan 3,93.0,3.0,Svenska Mäklarhuset Hammarby Sjöstad,4622.0,7200000.0
20210413.0,Olof Dalins väg 20,90.0,4.0,Karlsson & Uddare AB,6171.0,8850000.0
20210413.0,Bjulevägen 23,93.0,4.0,BOSTHLM Älvsjö,7496.0,3750000.0
20210412.0,Svartviksslingan 96,90.5,4.0,MOHV Bromma,5190.0,6800000.0
20210412.0,Björngårdsgatan 3,91.0,3.0,Svensk Fastighetsförmedling Sthlm Södermalm,3903.0,7000000.0
20210411.0,Hammarby allé 119,91.0,4.0,BOSTHLM Fastighetsmäklare AB,4495.0,6900000.0
2021049.0,Tellusgatan 17,95.0,3.0,Svenska Mäklarhuset Hägersten/Liljeholmen,5071.0,6500000.0
2021049.0,Lämmelgränd 5,91.0,4.0,Bjurfors Bromma,4576.0,7650000.0
2021048.0,Hammarögatan 26,93.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5446.0,4245000.0
2021048.0,Härjedalsgatan 78,92.0,4.0,Svensk Fastighetsförmedling Vällingby/Hässelby/Spånga,4584.0,3500000.0
2021047.0,Norra Stationsgatan 111,95.0,4.0,Erik Olsson Fastighetsförmedling,4298.0,8300000.0
2021046.0,Karlsbodavägen 40,91.5,4.0,Fastighetsbyrån Bromma,6213.0,5300000.0
2021045.0,Hammarögatan 26,93.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5446.0,4045000.0
2021045.0,Tummelisas Gata 4,95.0,4.0,Mäklarhuset Bromma,5460.0,5750000.0
2021042.0,Karlbergsvägen 87A,92.0,4.0,Fastighetsbyrån Stockholm - Vasastan,4277.0,9800000.0
2021041.0,Arbetargatan 24,95.0,4.0,Widerlöv Stockholm,3447.0,10325000.0
20210331.0,Erik Dahlbergsgatan 49,93.0,4.0,Fastighetsbyrån Stockholm – Östermalm,4159.0,8850000.0
20210331.0,Hammarögatan 26,93.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5446.0,4095000.0
20210331.0,Alva myrdals gata 8,92.0,4.0,Länsförsäkringar Fastighetsförmedling Stockholm - Hägersten,5126.0,5150000.0
20210331.0,Telefonvägen 25,92.0,4.0,Fastighetsbyrån Hägersten/Älvsjö,5042.0,7060000.0
20210331.0,Tummelisas gata 4,95.0,4.0,Svenska Mäklarhuset Bromma,5460.0,5200000.0
20210331.0,Norra Stationsgatan 111,95.0,4.0,Erik Olsson Fastighetsförmedling,4298.0,8350000.0
20210331.0,Vinodlargatan 6,95.0,4.0,Bjurfors Liljeholmen Hägersten,5317.0,6620000.0
20210330.0,Hammarögatan 26,93.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5446.0,4295000.0
20210330.0,Folkparksvägen 160,91.5,3.0,BOSTHLM Älvsjö,5313.0,4850000.0
20210328.0,Folkungagatan 63,95.0,4.0,Svensk Fastighetsförmedling Sthlm Södermalm,4877.0,9500000.0
20210326.0,Skebokvarnsvägen 6,93.5,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5719.0,4600000.0
20210326.0,Valhallavägen 146 F,94.0,4.0,Behrer & Partners,3082.0,11100000.0
20210325.0,Drachmannsgatan 4,90.0,4.0,Notar,5007.0,6400000.0
20210324.0,Nina Einhorns gata 5,91.0,4.0,Bronze Fastighetsförmedling AB,4605.0,9150000.0
20210324.0,Snickerigatan 14,95.0,4.0,Länsförsäkringar Fastighetsförmedling Stockholm - Hägersten,5237.0,7330000.0
20210324.0,Beckomberga Ängsväg 22,91.0,4.0,Svenska Mäklarhuset Bromma,4730.0,5400000.0
20210323.0,Skönviksvägen 284,90.0,4.0,HusmanHagberg Enskede,4410.0,5820000.0
20210323.0,Bergslagsvägen 74,90.5,4.0,Erik Olsson Fastighetsförmedling,4904.0,5550000.0
20210322.0,Roslagsgatan 40 D,90.0,3.0,Behrer & Partners,3364.0,10000000.0
20210319.0,Skeppstavägen 31,93.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5516.0,4200000.0
