Date,Adress,Size,Rooms,Broker,Rent,Price,NearbyPOIs,Latitude,Longitude,PricePerKvm,PricePerRoom
20210429.0,Gullmarsvägen 64,90.0,3.0,Notar,4200.0,6100000.0,542.0,59.299861598595974,18.068389892578125,67778.0,2033333.0
20210429.0,Hammarögatan 7,94.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197.0,3650000.0,1800.0,59.32915150430002,18.06255340576172,38830.0,912500.0
20210429.0,Hammarögatan 7,94.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197.0,3700000.0,1800.0,59.32915150430002,18.06255340576172,39362.0,925000.0
20210429.0,Hammarögatan 7,94.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197.0,3650000.0,1800.0,59.32915150430002,18.06255340576172,38830.0,912500.0
20210429.0,Hammarögatan 7,94.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197.0,3450000.0,1800.0,59.32915150430002,18.06255340576172,36702.0,862500.0
20210428.0,Hammarögatan 7,94.0,4.0,Fastighetsbyrån Farsta/ Högdalen/ Skogås,5197.0,3550000.0,1800.0,59.32915150430002,18.06255340576172,37766.0,887500.0
20210427.0,Narviksgatan 17,91.0,4.0,Notar,6339.0,2900000.0,15.0,59.41290523298785,17.923507690429688,31868.0,725000.0
20210426.0,Horisontvägen 75,90.0,4.0,Fastighetsbyrån Enskede,6217.0,3400000.0,16.0,59.265138127315424,18.130874633789066,37778.0,850000.0
20210426.0,Sockenvägen 425,95.0,4.0,Fastighetsbyrån Enskede,5935.0,7300000.0,67.0,59.280575153750675,18.082809448242188,76842.0,1825000.0
20210426.0,Annedalsvägen 30,93.5,4.0,Bjurfors Bromma,4546.0,5400000.0,66.0,59.36535379670071,17.949600219726562,57754.0,1350000.0
20210423.0,Årstavägen 10,93.0,4.0,Tradition Fastighetsmäkleri AB,4672.0,6890000.0,96.0,59.29355087432541,18.05877685546875,74086.0,1722500.0
20210422.0,Blackebergsbacken 1,94.5,4.0,Notar,5420.0,5910000.0,15.0,59.34085278349814,17.8857421875,62540.0,1477500.0
20210422.0,Kabelverksgatan 32,95.0,4.0,BOSTHLM Älvsjö,4944.0,5875000.0,57.0,59.282679660701504,18.001785278320312,61842.0,1468750.0
20210421.0,Båtbyggargatan 62,91.0,3.0,Svenska Mäklarhuset Hammarby Sjöstad,5773.0,7200000.0,103.0,59.30582065237441,18.1109619140625,79121.0,2400000.0
20210421.0,Sköntorpsvägen 7,93.0,4.0,Notar,5793.0,6825000.0,465.0,59.2981087370418,18.06976318359375,73387.0,1706250.0
20210420.0,Personnevägen 102,95.0,4.0,Notar,4730.0,5400000.0,59.0,59.29214833219326,17.9791259765625,56842.0,1350000.0
20210420.0,Vantörsvägen 285,93.5,4.0,Länsförsäkringar Fastighetsförmedling Stockholm - Hägersten,4284.0,4880000.0,29.0,59.286186883200166,17.952346801757812,52193.0,1220000.0
20210419.0,Västertorpsvägen 168,92.0,4.0,Fastighetsbyrån Hägersten/Älvsjö,5112.0,4515000.0,29.0,59.29004441060584,17.950973510742188,49076.0,1128750.0
20210419.0,Skäftingebacken 36,94.0,4.0,HusmanHagberg Kista,6456.0,2360000.0,20.0,59.396129989226544,17.902908325195312,25106.0,590000.0
20210416.0,Härjedalsgatan 96,92.0,4.0,Svensk Fastighetsförmedling Vällingby/Hässelby/Spånga,4659.0,3300000.0,29.0,59.36710319249021,17.874755859375,35870.0,825000.0
20210414.0,Karlsbodavägen 42,91.5,4.0,Bjurfors Bromma,6213.0,5850000.0,123.0,59.35835531153387,17.961959838867188,63934.0,1462500.0
